Squad,pass_total_pct,pass_short_pct,pass_medium_pct,pass_long_pct,dribble_success_pct,prog_carries
Benfica,84.3,90.6,89.8,64.9,50.9,254
Famalicão,76.2,87.4,83.4,52.0,37.9,173
Gil Vicente FC,76.0,86.0,84.3,51.5,42.3,145
Porto,82.3,88.4,88.9,55.5,45.0,191
Sporting CP,84.8,90.5,89.5,63.3,48.0,269
