Squad,Saves,SavePct,Crosses_Stopped_Pct,Interceptions,Blocks,Tackles,TacklePct,AerialsWonPct
Benfica,104,82.1,3.3,90,105,181,49.8,54.8
Famalicão,135,87.2,3.1,83,101,214,56.9,47.9
Gil Vicente FC,126,90.9,9.1,88,116,191,53.4,45.1
Porto,103,84.2,2.2,103,151,157,50.0,56.7
Sporting CP,128,82.8,8.9,69,106,198,56.2,52.7
